LEAID,district_name,total_students,num_chronically_absent_students,chronic_absentee_ratio,STATE_NAME,Am_Indian_Female,Am_Indian_Male,Am_Indian_Total,Asian_Female,Asian_Male,Asian_Total,Black_Female,Black_Male,Black_Total,Sec504_Female,Sec504_Male,Sec504_Total,Econ_Disadv_Female,Econ_Disadv_Male,Econ_Disadv_Total,Hispanic_Female,Hispanic_Male,Hispanic_Total,Homeless_Female,Homeless_Male,Homeless_Total,Eng_Learner_Female,Eng_Learner_Male,Eng_Learner_Total,Multiracial_Female,Multiracial_Male,Multiracial_Total,PI7_F,PI7_M,PI7_T,Disabilities_Female,Disabilities_Male,Disabilities_Total,White_Female,White_Male,White_Total,student_poverty_ratio,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditures,total_salaries,total_employee_benefits
100005,Albertville City,5767,1320,0.22899999999999998,AL,4.0,2.0,6.0,2.0,1.0,3.0,24.0,24.0,48.0,0.0,0.0,0.0,557.0,587.0,1144.0,261.0,279.0,540.0,17.0,10.0,27.0,112.0,146.0,258.0,34.0,36.0,70.0,1.0,0.0,1.0,82.0,151.0,233.0,315.0,337.0,652.0,0.21595854922279792,13132000,42566000,18900000,65734000,18998000,11412000
100006,Marshall County,5717,974,0.17,AL,2.0,0.0,2.0,1.0,1.0,2.0,6.0,13.0,19.0,0.0,1.0,1.0,416.0,417.0,833.0,75.0,82.0,157.0,33.0,31.0,64.0,23.0,32.0,55.0,9.0,11.0,20.0,0.0,0.0,0.0,97.0,141.0,238.0,395.0,379.0,774.0,0.19651226158038146,24404000,45327000,18823000,87804000,22575000,14775000
100007,Hoover City,13300,1398,0.105,AL,0.0,2.0,2.0,43.0,47.0,90.0,233.0,186.0,419.0,58.0,42.0,100.0,427.0,383.0,810.0,89.0,70.0,159.0,9.0,2.0,11.0,49.0,60.0,109.0,46.0,41.0,87.0,0.0,1.0,1.0,107.0,168.0,275.0,327.0,313.0,640.0,0.07384285534115273,18644000,87393000,113032000,208943000,73899000,40534000
100008,Madison City,12187,1855,0.152,AL,4.0,3.0,7.0,39.0,33.0,72.0,239.0,196.0,435.0,2.0,2.0,4.0,434.0,403.0,837.0,105.0,103.0,208.0,23.0,25.0,48.0,45.0,50.0,95.0,66.0,68.0,134.0,3.0,1.0,4.0,159.0,247.0,406.0,502.0,493.0,995.0,0.056284743668931436,14037000,85179000,78543000,173520000,49853000,27452000
100011,Leeds City,2081,572,0.275,AL,0.0,0.0,0.0,3.0,0.0,3.0,77.0,79.0,156.0,3.0,1.0,4.0,192.0,252.0,444.0,26.0,54.0,80.0,13.0,11.0,24.0,7.0,23.0,30.0,9.0,4.0,13.0,0.0,0.0,0.0,36.0,90.0,126.0,136.0,184.0,320.0,0.1694417238001959,5158000,15284000,11143000,28267000,9146000,5064000
100012,Boaz City,2360,416,0.17600000000000002,AL,3.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,195.0,155.0,350.0,71.0,60.0,131.0,14.0,11.0,25.0,26.0,18.0,44.0,4.0,5.0,9.0,3.0,3.0,6.0,34.0,40.0,74.0,140.0,122.0,262.0,0.1779324055666004,6230000,18456000,8358000,30286000,9510000,5876000
100013,Trussville City,5008,435,0.087,AL,2.0,1.0,3.0,2.0,2.0,4.0,22.0,18.0,40.0,1.0,1.0,2.0,78.0,73.0,151.0,7.0,11.0,18.0,0.0,0.0,0.0,3.0,4.0,7.0,7.0,11.0,18.0,0.0,0.0,0.0,30.0,50.0,80.0,195.0,157.0,352.0,0.04014665444546288,4946000,36179000,29865000,64310000,21377000,11537000
100030,Alexander City,2804,526,0.188,AL,0.0,0.0,0.0,0.0,1.0,1.0,113.0,100.0,213.0,2.0,2.0,4.0,214.0,236.0,450.0,15.0,20.0,35.0,6.0,4.0,10.0,5.0,8.0,13.0,11.0,15.0,26.0,0.0,0.0,0.0,47.0,75.0,122.0,126.0,125.0,251.0,0.23485693050910442,9072000,21452000,12213000,43175000,14074000,7131000
103030,Shelby County,21042,3597,0.171,AL,12.0,3.0,15.0,29.0,18.0,47.0,340.0,326.0,666.0,158.0,118.0,276.0,1188.0,1152.0,2340.0,213.0,204.0,417.0,63.0,70.0,133.0,84.0,82.0,166.0,60.0,49.0,109.0,4.0,3.0,7.0,268.0,461.0,729.0,1168.0,1168.0,2336.0,0.23485693050910442,26944000,151326000,113283000,266014000,87237000,53358000
100060,Andalusia City,1786,315,0.17600000000000002,AL,1.0,1.0,2.0,0.0,0.0,0.0,54.0,45.0,99.0,0.0,0.0,0.0,156.0,122.0,278.0,5.0,8.0,13.0,4.0,3.0,7.0,1.0,2.0,3.0,11.0,6.0,17.0,0.0,0.0,0.0,38.0,59.0,97.0,104.0,80.0,184.0,0.2822902796271638,4582000,15297000,6978000,24411000,7618000,4182000
