SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,DATA_GROUP_ID,DENOMINATOR,NUMERATOR,TEXT_VALUE,NUMERIC_VALUE,SUBGROUP
2022-2023,ALABAMA,0100005,Albertville City,814PCT,5767,1320,22.9%,22.9,ALLLEA
2022-2023,ALABAMA,0100006,Marshall County,814PCT,5717,974,17.0%,17,ALLLEA
2022-2023,ALABAMA,0100007,Hoover City,814PCT,13300,1398,10.5%,10.5,ALLLEA
2022-2023,ALABAMA,0100008,Madison City,814PCT,12187,1855,15.2%,15.2,ALLLEA
2022-2023,ALABAMA,0100011,Leeds City,814PCT,2081,572,27.5%,27.5,ALLLEA
2022-2023,ALABAMA,0100012,Boaz City,814PCT,2360,416,17.6%,17.6,ALLLEA
2022-2023,ALABAMA,0100013,Trussville City,814PCT,5008,435,8.7%,8.7,ALLLEA
2022-2023,ALABAMA,0100030,Alexander City,814PCT,2804,526,18.8%,18.8,ALLLEA
2022-2023,ALABAMA,0100060,Andalusia City,814PCT,1786,315,17.6%,17.6,ALLLEA
2022-2023,ALABAMA,0100090,Anniston City,814PCT,1779,418,23.5%,23.5,ALLLEA
2022-2023,ALABAMA,0100100,Arab City,814PCT,2550,238,9.3%,9.3,ALLLEA
2022-2023,ALABAMA,0100120,Athens City,814PCT,4698,747,15.9%,15.9,ALLLEA
2022-2023,ALABAMA,0100180,Attalla City,814PCT,1486,458,30.8%,30.8,ALLLEA
2022-2023,ALABAMA,0100185,Saraland City,814PCT,3318,601,18.1%,18.1,ALLLEA
2022-2023,ALABAMA,0100188,Chickasaw City,814PCT,2571,289,11.2%,11.2,ALLLEA
2022-2023,ALABAMA,0100189,Satsuma City,814PCT,1464,220,15.0%,15,ALLLEA
2022-2023,ALABAMA,0100190,Alabaster City,814PCT,6318,977,15.5%,15.5,ALLLEA
2022-2023,ALABAMA,0100194,Pelham City,814PCT,3410,536,15.7%,15.7,ALLLEA
2022-2023,ALABAMA,0100195,Pike Road City,814PCT,2690,281,10.4%,10.4,ALLLEA
2022-2023,ALABAMA,0100197,MAEF Public Charter Schools,814PCT,648,205,31.6%,31.6,ALLLEA
2022-2023,ALABAMA,0100199,University Charter School,814PCT,606,42,6.9%,6.9,ALLLEA
2022-2023,ALABAMA,0100201,Legacy Prep,814PCT,404,96,23.8%,23.8,ALLLEA
2022-2023,ALABAMA,0100202,Gulf Shores City,814PCT,2388,247,10.3%,10.3,ALLLEA
2022-2023,ALABAMA,0100203,LEAD Academy,814PCT,691,121,17.5%,17.5,ALLLEA
2022-2023,ALABAMA,0100204,i3 Academy,814PCT,625,138,22.1%,22.1,ALLLEA
2022-2023,ALABAMA,0100207,LIFE Academy,814PCT,305,134,43.9%,43.9,ALLLEA
2022-2023,ALABAMA,0100208,Breakthrough Charter School,814PCT,240,111,46.3%,46.3,ALLLEA
2022-2023,ALABAMA,0100210,Auburn City,814PCT,9461,1074,11.4%,11.4,ALLLEA
2022-2023,ALABAMA,0100211,Magic City Acceptance Academy,814PCT,338,149,44.1%,44.1,ALLLEA
